T(K),density(g/cm^3)
6.000000000000000000e+02,1.044723358999999796e+00
5.800000000000000000e+02,1.071629002999999969e+00
5.600000000000000000e+02,1.087322742000000009e+00
5.400000000000000000e+02,1.098797339999999956e+00
5.200000000000000000e+02,1.126218238000000094e+00
5.000000000000000000e+02,1.134415863000000080e+00
4.800000000000000000e+02,1.145293563000000070e+00
4.600000000000000000e+02,1.164436901999999829e+00
4.400000000000000000e+02,1.176874717999999875e+00
4.200000000000000000e+02,1.190779344000000073e+00
4.000000000000000000e+02,1.199976410000000104e+00
3.800000000000000000e+02,1.214725461000000006e+00
3.600000000000000000e+02,1.228616654999999946e+00
3.400000000000000000e+02,1.234174674000000138e+00
3.200000000000000000e+02,1.241508696000000134e+00
3.000000000000000000e+02,1.252623888000000019e+00
2.800000000000000000e+02,1.263509863999999983e+00
2.600000000000000000e+02,1.270995467000000101e+00
2.400000000000000000e+02,1.282568297000000079e+00
2.200000000000000000e+02,1.290211806999999933e+00
2.000000000000000000e+02,1.301673432999999935e+00
