run_id,baseline_tg_k,window_mean_tg_k,sigma_window_run_k,window_min_tg_k,window_max_tg_k,valid_windows
1,454.296126,460.700100,18.666119,431.738702,484.372861,25
2,444.297747,446.557328,3.209784,441.138356,451.189222,25
3,469.575048,470.301664,11.821406,447.050519,489.249452,25
4,463.783530,465.347515,7.990788,450.085825,473.652629,25
5,415.488666,418.080631,6.402788,408.141265,431.710602,25
6,430.116367,428.851825,4.746339,419.275552,434.024125,25
7,413.234716,416.230064,5.500522,408.075750,426.511400,25
8,411.116368,413.938538,8.931460,398.827716,431.022744,25
9,455.634091,454.411142,2.017389,451.589031,457.658508,25
10,408.797102,406.862154,7.690396,390.865650,419.603232,25
11,360.103840,360.351705,5.683808,354.505697,371.113992,25
12,321.765401,314.991120,10.080381,293.294678,329.460520,25
13,440.900663,438.060159,9.432498,418.768979,449.728245,25
14,385.933572,379.666167,12.718433,351.758136,391.815875,25
15,365.270367,372.367985,9.453133,360.746254,386.388010,25
16,455.183720,448.867289,4.102044,442.126265,455.183720,25
17,442.579256,445.944470,10.492347,431.953734,460.721288,25
18,433.137554,437.666164,16.182123,414.045826,463.058125,25
19,485.787725,480.201575,5.986037,472.506615,492.173743,25
20,484.711189,488.973844,7.918076,477.839238,504.015990,25
21,489.233539,497.530452,24.412221,460.531380,538.345587,25
