T(K),density(g/cm^3)
7.000000000000000000e+02,9.382085802999999835e-01
6.800000000000000000e+02,9.569348658999998758e-01
6.600000000000000000e+02,9.732419283000000032e-01
6.400000000000000000e+02,9.730561791999999821e-01
6.200000000000000000e+02,1.003613050500000048e+00
6.000000000000000000e+02,1.017926318300000021e+00
5.800000000000000000e+02,1.038700449000000026e+00
5.600000000000000000e+02,1.058655630999999930e+00
5.400000000000000000e+02,1.075986391999999903e+00
5.200000000000000000e+02,1.081235184999999932e+00
5.000000000000000000e+02,1.104721536000000226e+00
4.800000000000000000e+02,1.110769919999999855e+00
4.600000000000000000e+02,1.123778853999999994e+00
4.400000000000000000e+02,1.142449865999999981e+00
4.200000000000000000e+02,1.160953209000000097e+00
4.000000000000000000e+02,1.174033633000000076e+00
3.800000000000000000e+02,1.181483241000000017e+00
3.600000000000000000e+02,1.196188876000000123e+00
3.400000000000000000e+02,1.210721683000000048e+00
3.200000000000000000e+02,1.217787965000000083e+00
3.000000000000000000e+02,1.232589150999999994e+00
2.800000000000000000e+02,1.244907438999999894e+00
2.600000000000000000e+02,1.254437956000000076e+00
2.400000000000000000e+02,1.262116159000000071e+00
2.200000000000000000e+02,1.281879553999999866e+00
2.000000000000000000e+02,1.288620142000000079e+00
1.800000000000000000e+02,1.292537558999999892e+00
1.600000000000000000e+02,1.303591692999999996e+00
1.400000000000000000e+02,1.309907378000000122e+00
1.200000000000000000e+02,1.316836642000000168e+00
1.000000000000000000e+02,1.324518911000000188e+00
