T_K,mean_density_g_cm3,se_density_g_cm3
100.000000,1.250665949,0.014277326
120.000000,1.245938711,0.014328862
140.000000,1.240719432,0.014453712
160.000000,1.235811755,0.014359314
180.000000,1.230484073,0.014274870
200.000000,1.225260819,0.014475151
220.000000,1.220097570,0.014551032
240.000000,1.213354547,0.014595154
260.000000,1.207921290,0.014607176
280.000000,1.201170218,0.014662002
300.000000,1.194773077,0.014905653
320.000000,1.186691518,0.015015107
340.000000,1.180380356,0.015125220
360.000000,1.173325454,0.015291594
380.000000,1.165025007,0.015687334
400.000000,1.157570193,0.015685734
420.000000,1.148928807,0.015753979
440.000000,1.139649722,0.016303156
460.000000,1.128622495,0.016830069
480.000000,1.118973134,0.017332242
500.000000,1.107074111,0.017852016
520.000000,1.096281351,0.017956267
540.000000,1.086019782,0.018179784
560.000000,1.073377962,0.018718150
580.000000,1.062091881,0.019070761
600.000000,1.047347624,0.019556802
620.000000,1.034340337,0.019570751
640.000000,1.016321014,0.019960788
660.000000,1.006795269,0.019544621
680.000000,0.993470203,0.020288436
700.000000,0.974949155,0.020268850
