run_id,model,n_points,converged,Tg_K,Tg_SE_K,rho_Tg_g_cm3,slope_low_g_cm3_K,slope_high_g_cm3_K,width_K,width_SE_K,rmse_g_cm3,r2,aic,message
1,hyperbola,31,True,522.078654,47.287906,1.231024828,-0.000181954866,-0.000633980926,120.000000,80.633094,0.004437670,0.993679753,-325.892795,ok
1,sigmoid,31,True,513.737680,68.667558,1.206276625,-0.000224974990,-0.000575762253,120.000000,63.761492,0.004332598,0.993975504,-327.378456,ok
2,hyperbola,31,True,458.864042,18.425255,1.211042646,-0.000196242342,-0.000647580194,120.000000,48.977397,0.002910025,0.998152055,-352.054805,ok
2,sigmoid,31,True,467.123492,25.463470,1.179826211,-0.000248692995,-0.000613545500,120.000000,33.407022,0.002776677,0.998317533,-354.963018,ok
3,hyperbola,31,True,578.258954,72.220376,1.151007549,-0.000239664867,-0.000552258965,120.000000,76.672878,0.002602418,0.997637822,-358.981475,ok
3,sigmoid,31,True,567.869625,126.311108,1.135581517,-0.000269267637,-0.000502099052,120.000000,85.624236,0.002740907,0.997379724,-355.766917,ok
4,hyperbola,31,True,517.128059,38.193500,1.218667566,-0.000204068172,-0.000665709583,120.000000,67.660362,0.003834090,0.996031942,-334.957030,ok
4,sigmoid,31,True,506.966095,54.475441,1.194254277,-0.000247151304,-0.000603105572,120.000000,52.983112,0.003764398,0.996174886,-336.094376,ok
5,hyperbola,31,True,437.576278,18.221204,1.243446652,-0.000267738301,-0.000734880520,120.000000,54.130446,0.003374909,0.998419094,-342.865996,ok
5,sigmoid,31,True,433.343855,21.186208,1.216700484,-0.000312987657,-0.000682914595,120.000000,35.802942,0.003206711,0.998572745,-346.035594,ok
6,hyperbola,31,True,449.759569,19.940420,1.109434156,-0.000273644039,-0.000844850289,120.000000,55.804376,0.004224181,0.997888456,-328.949658,ok
6,sigmoid,31,True,444.448641,24.301326,1.077045972,-0.000328547923,-0.000779470485,120.000000,38.012882,0.004087124,0.998023254,-330.994645,ok
7,hyperbola,31,True,428.013900,7.640990,1.115738681,-0.000266259479,-0.000751784770,75.227711,21.869316,0.002303997,0.999309209,-366.532809,ok
7,sigmoid,31,True,424.736385,7.695055,1.098503823,-0.000311697641,-0.000698289852,77.244744,11.879871,0.002399865,0.999250526,-364.005257,ok
8,hyperbola,31,True,427.646910,18.333274,1.119846078,-0.000282955311,-0.000780486231,120.000000,56.627070,0.003776499,0.998306055,-335.895397,ok
