run_id,baseline_tg_k,window_mean_tg_k,sigma_window_run_k,window_min_tg_k,window_max_tg_k,valid_windows
1,454.296126,460.700100,18.666119,431.738702,484.372861,25
2,444.297747,446.557328,3.209784,441.138356,451.189222,25
3,469.575048,470.301664,11.821406,447.050519,489.249452,25
4,463.783530,465.347515,7.990788,450.085825,473.652629,25
5,415.488666,418.080631,6.402788,408.141265,431.710602,25
6,430.116367,428.851825,4.746339,419.275552,434.024125,25
7,413.234716,416.230064,5.500522,408.075750,426.511400,25
8,411.116368,413.938538,8.931460,398.827716,431.022744,25
9,455.634091,454.411142,2.017389,451.589031,457.658508,25
10,408.797102,406.862154,7.690396,390.865650,419.603232,25
11,360.103840,360.351705,5.683808,354.505697,371.113992,25
12,321.765401,314.991120,10.080381,293.294678,329.460520,25
13,415.044172,411.114135,3.496503,406.372005,416.330053,25
14,389.420546,394.768684,10.834200,380.621017,416.952382,25
15,407.073061,406.705768,1.878444,404.559366,410.401812,25
16,466.004513,463.880161,9.199451,444.537914,476.963759,25
17,402.953970,408.667769,8.857732,395.010028,425.099463,25
18,413.421081,417.358047,15.667844,390.253706,439.553578,25
19,480.053135,480.636229,7.249211,466.976520,490.022261,25
20,482.871291,483.729413,6.093527,472.946368,492.202578,25
21,499.700842,500.579452,6.316042,489.642122,507.357909,25
