T(K),density(g/cm^3)
7.000000000000000000e+02,1.116800913999999922e+00
6.800000000000000000e+02,1.139912928000000214e+00
6.600000000000000000e+02,1.136999684000000066e+00
6.400000000000000000e+02,1.148473921000000120e+00
6.200000000000000000e+02,1.181813753999999994e+00
6.000000000000000000e+02,1.190507613000000076e+00
5.800000000000000000e+02,1.196594799999999958e+00
5.600000000000000000e+02,1.204284370999999965e+00
5.400000000000000000e+02,1.211562124000000074e+00
5.200000000000000000e+02,1.224775932999999872e+00
5.000000000000000000e+02,1.227198915999999862e+00
4.800000000000000000e+02,1.236600490000000052e+00
4.600000000000000000e+02,1.238442572999999935e+00
4.400000000000000000e+02,1.251287269000000091e+00
4.200000000000000000e+02,1.256614142999999961e+00
4.000000000000000000e+02,1.261341229999999980e+00
3.800000000000000000e+02,1.269156466999999955e+00
3.600000000000000000e+02,1.270151129000000045e+00
3.400000000000000000e+02,1.275817940999999900e+00
3.200000000000000000e+02,1.278757625000000120e+00
3.000000000000000000e+02,1.284735104000000128e+00
2.800000000000000000e+02,1.288650612000000084e+00
2.600000000000000000e+02,1.291615689999999761e+00
2.400000000000000000e+02,1.296374347999999843e+00
2.200000000000000000e+02,1.297501123000000200e+00
2.000000000000000000e+02,1.304277931000000113e+00
1.800000000000000000e+02,1.307396936000000176e+00
1.600000000000000000e+02,1.309896878000000209e+00
1.400000000000000000e+02,1.313733261999999735e+00
1.200000000000000000e+02,1.317020436999999822e+00
1.000000000000000000e+02,1.320610552999999854e+00
