PSMILES,Multimodal Prediction  Tg /K,smiles,pred,pool_score_percentile
[*]NNC(=O)c1ccc(Cc2cc(S(=O)(=O)Nc3ccc([*])cc3)ccc2C)c(N=C)c1,492.287567,,,
[*]Oc1ccc(NC(=O)c2ccc(CC(=O)Oc3ccc([*])cc3)cc2)c2ccccc12,476.740265,,,
[*]OS(=O)(=O)c1ccc(Cc2ccc(N3C=Cc4ccc([*])cc4C3=O)cc2)c(-c2ccccc2)c1,459.848114,,,
[*]Oc1ccc(C(=O)c2ccc(Nc3cccc(-c4ccc(S([*])(=O)=O)cc4)c3)cc2)cc1,456.443909,,,
[*]c1ccc(CCCCCOc2ccc(-n3c([*])c4ccccc4c3)cc2S(=O)(=O)O)c(Cl)c1,443.940918,,,
[*]CC(O)COc1ccc(C(C)(C)c2ccc(OC(=O)c3cc(OCCC)cc(C([*])=O)c3)cc2)c(-c2ccccc2)c1,399.28479,,,
[*]/C=C/c1ccccc1CCC(O)CNC(=O)c1ccc(N(C(=O)CCCCCCOc2ccc([*])c(O)c2)cc1)c1ccccc1,389.390808,,,
[*]COc1ccc(N(CC)c2ccc(C(=O)c3cccc(OC(=O)SCCC([*])(C)C)c3)cc2)cc1,387.417877,,,
[*]OP(=O)(O)OCCOC(=O)c1cccc(C(C)(C)c2ccc(OC(=O)c3ccc([*])cc3)cc2)c1CCC,338.946777,,,
[*]CC([*])(C)COc1ccc(C(=O)OCCCCC(CO)=Nc2ccc(OC(=O)c3ccccc3)cc2)cc1,336.920288,,,
[*]CC([*])C(=O)OCC(C)(C)CCCCCCOc1cccc(S(=O)(=O)c2ccc(OC)cc2)c1,303.700195,,,
[*]CCN(CCCC([*])(C#N)CSC(=O)OCCCC)NC,302.416992,,,
[*]CC([*])OC1CC1N(C)c1ccc(C(=O)Oc2ccc(S(=O)(=O)CCC)cc2)s1,350.527527,,,
[*]C/C=C/c1ccc(C(CBr)(COC(=O)c2ccc(Cl)cc2)OCCCCCCCC)c([*])c1,340.522583,,,
[*]c1ccc(OCCOc2ccc(C(C)(C)c3ccc([*])cc3)cc2)cc1,368.313232,,,
[*]CC([*])c1ccc(C(=O)NCCC)cc1/C=N/c1ccc(O)cc1,398.214386,,,
[*]/C(=N/c1ccc(C(=O)S[*])c(OCCCCC(F)(F)F)c1)c1ccccc1,395.958893,,,
[*]Cc1ccc(/C=C/c2ccc(OC(=O)c3cc(CCl)cc([*])c3)cc2OCCCC)cc1,409.76886,,,
[*]NC(CO)C(=O)Nc1cccc(CC([*])=O)c1,448.422089,,,
[*]CC(=O)Oc1ccc(S(=O)(=O)c2ccc(OC(=O)c3ccc(C)cc3)cc2)c(OC([*])=O)c1,443.990143,,,
[*]Cc1ccc(CS(=O)(=O)c2cc(C([*])(C)C)cc(-c3ccccc3)c2)cc1C,475.955994,,,
