Test id,Δ /K,relative deviation %,delta_group,MD Tg /K,Multimodal Prediction  Tg /K,Unimodal Prediction Tg /K,graph_mean,graph_model_uncertainty_k,multi_mean,multi_model_uncertainty_k,md_tg_from_curve_k,md_window_uncertainty_k,graph_abs_error_k,multi_abs_error_k,branch_delta_k,abs_graph_multi_ensemble_delta_k,residual_model_minus_md_k
15,0.002,9.527577499,low_delta,407.1,368.313232,368.3110046,390.8295166015625,10.755522696587972,362.0460540771484,15.087675868213047,407.073061,1.878444,16.270483398437534,45.0539459228516,0.002,28.783462524414062,-38.786767999999995
8,0.101,5.760672099,low_delta,411.1,387.417877,387.3169556,378.78419494628906,7.254949908839088,381.9057678222656,4.362368731107712,411.116368,8.93146,32.31580505371096,29.19423217773442,0.101,3.12157287597654,-23.682123000000047
21,0.134,4.751652191,low_delta,499.7,475.955994,475.8215027,455.2176452636719,26.40533117190912,425.99583435058594,7.771785847548449,499.700842,6.316042,44.48235473632809,73.70416564941405,0.134,29.22181091308596,-23.744006000000013
7,1.733,5.762147144,low_delta,413.2,389.390808,387.6582642,391.42967529296874,20.748279979985387,404.4318450927734,9.997751602465282,413.234716,5.500522,21.77032470703125,8.768154907226574,1.733,13.002169799804676,-23.809191999999996
4,1.736,1.586048081,low_delta,463.8,456.443909,454.7076416,440.2800689697266,14.864352695179395,457.0087158203125,17.536656620243917,463.78353,7.990788,23.519931030273423,6.791284179687523,1.736,16.728646850585903,-7.356090999999992
14,1.75,12.55198177,low_delta,389.4,340.522583,342.2723999,320.6334289550781,22.715321848757828,317.7707580566406,11.222666548648869,389.420546,10.8342,68.76657104492188,71.62924194335938,1.75,2.8626708984375,-48.87741699999998
6,2.054,7.164661707,low_delta,430.1,399.28479,397.2309265,424.8231842041015,19.869533259803045,405.12061462402346,9.1117579431796,430.116367,4.746339,5.276815795898528,24.97938537597656,2.054,19.70256958007803,-30.815210000000036
18,2.427,0.878359942,mid_delta,413.4,409.76886,412.1954346,439.1880859375,22.33748553523774,395.3402587890625,11.476108049611552,413.421081,15.667844,25.7880859375,18.05974121093749,2.427,43.84782714843749,-3.6311399999999594
9,2.658,25.60430707,mid_delta,455.6,338.946777,341.6051025,351.78179626464845,14.979044175598103,361.4715087890625,14.139542978538966,455.634091,2.017389,103.81820373535156,94.12849121093753,2.658,9.689712524414062,-116.65322300000003
1,3.088,8.361780101,mid_delta,454.3,492.287567,495.3756409,462.96095581054686,16.953743097787147,470.4701568603515,15.871966733766776,454.296126,18.666119,8.660955810546852,16.170156860351483,3.088,7.509201049804631,37.98756700000001
10,3.15,17.5830998,mid_delta,408.8,336.920288,333.7706299,347.64475402832034,10.582186468891493,324.2220886230469,6.394563140208988,408.797102,7.690396,61.15524597167968,84.57791137695312,3.15,23.42266540527345,-71.87971199999998
16,5.483,14.5462691,mid_delta,466.0,398.214386,403.6970825,405.74638671875,14.329182712844784,434.0696746826172,16.66464068362894,466.004513,9.199451,60.25361328125001,31.930325317382824,5.483,28.323287963867188,-67.78561400000001
5,5.952,6.844986282,mid_delta,415.5,443.940918,449.8930054,430.060189819336,26.192805781053465,412.92234497070314,19.80298819265299,415.488666,6.402788,14.560189819336015,2.5776550292968636,5.952,17.13784484863288,28.44091800000001
2,6.875,7.301432591,mid_delta,444.3,476.740265,469.8655396,468.15684509277344,18.44820308790679,494.26875,13.523413833451396,444.297747,3.209784,23.856845092773423,49.96875,6.875,26.111904907226577,32.44026500000001
13,6.997,15.53553566,high_delta,415.0,350.527527,343.5310059,355.19463500976565,18.76411818521205,352.78041076660156,9.920214244653096,415.044172,3.496503,59.80536499023435,62.21958923339844,6.997,2.4142242431640852,-64.47247299999998
12,7.176,6.023308888,high_delta,321.8,302.416992,295.2412109,296.11212158203125,18.77228165328099,312.49997863769534,13.06469511300322,321.765401,10.080381,25.68787841796876,9.300021362304676,7.176,16.387857055664085,-19.383008000000018
20,10.356,8.057539242,high_delta,482.9,443.990143,433.633667,411.9221588134766,14.204346987214173,421.2918609619141,21.084168601854778,482.871291,6.093527,70.97784118652339,61.60813903808588,10.356,9.369702148437511,-38.90985699999999
11,10.937,15.66226187,high_delta,360.1,303.700195,314.6375122,303.3289489746094,8.35010172472406,287.6554473876953,13.517820424244452,360.10384,5.683808,56.77105102539065,72.44455261230473,10.937,15.673501586914083,-56.399805000000015
3,15.756,2.076636712,high_delta,469.6,459.848114,444.0916443,447.75111694335936,23.573726193500548,466.4534759521485,21.588605988194676,469.575048,11.821406,21.84888305664066,3.1465240478515284,15.756,18.70235900878913,-9.751886000000013
17,21.533,1.747172953,high_delta,403.0,395.958893,374.425415,401.9498016357422,20.975981363971194,377.0075347900391,19.343976902678655,402.95397,8.857732,1.050198364257824,25.99246520996093,21.533,24.942266845703102,-7.041107000000011
19,22.512,6.598190169,high_delta,480.1,448.422089,425.909729,413.70337829589846,26.262923539755825,396.4266479492187,14.59998296288888,480.053135,7.249211,66.39662170410156,83.67335205078132,22.512,17.276730346679756,-31.677910999999995
