sample_id,smiles,is_valid,is_unique,in_training_set,target_tg,sampling_temperature,pred,test_smiles,nn_similarity,nn_train_index,nn_train_smiles,similarity_bin
0,[*]CNC(=O)C(C[*])(CC)C(=O)OC(=O)C(F)(F)F,True,True,False,350.0,0.5,426.11083984375,[*]CNC(=O)C(C[*])(CC)C(=O)OC(=O)C(F)(F)F,0.358974358974359,1564.0,[*]CC([*])(F)C(=O)OC,low
2,[*]c1ccc(CCCCCCCC(=O)Oc2ccc(N3C(=O)c4ccc([*])cc4C3=O)c(O)c2)cc1OCCOC(F)(F)F,True,True,False,350.0,0.5,395.3953247070313,[*]c1ccc(CCCCCCCC(=O)Oc2ccc(N3C(=O)c4ccc([*])cc4C3=O)c(O)c2)cc1OCCOC(F)(F)F,0.3978494623655914,532.0,[*]C(=O)c1ccc2c(c1)C(=O)N(c1ccc(-c3ccc(N4C(=O)c5ccc([*])cc5C4=O)c(OCCCCCCOc4ccc(/C=C/c5ccc(F)cc5)cc4)c3)cc1OCCCCCCOc1ccc(/C=C/c3ccc(F)cc3)cc1)C2=O,low
3,[*]CC([*])(C)C(=O)NCCCCOc1ccc(C=C(CC)c2ccccc2)s1,True,True,False,350.0,0.5,379.412841796875,[*]CC([*])(C)C(=O)NCCCCOc1ccc(C=C(CC)c2ccccc2)s1,0.36507936507936506,1230.0,[*]CC([*])(C)C(=O)OCC(=O)c1ccccc1,low
4,[*]Sc1ccc(O[Si]([*])(C)CCCCCCc2ccc(Oc3ccc(C#N)cc3)cc2)c(C(=O)c2ccccc2)c1,True,True,False,350.0,0.5,342.97509765625,[*]Sc1ccc(O[Si]([*])(C)CCCCCCc2ccc(Oc3ccc(C#N)cc3)cc2)c(C(=O)c2ccccc2)c1,0.4375,4637.0,[*]O[Si]([*])(C)CCCCCCCCOc1ccc(C(=O)Oc2ccc(C#N)cc2C)cc1,low
5,[*]C(=O)Nc1ccc2c(c1)OCCC[Si]([*])(CCC)COc1ccccc12,True,True,False,350.0,0.5,458.3417663574219,[*]C(=O)Nc1ccc2c(c1)OCCC[Si]([*])(CCC)COc1ccccc12,0.2878787878787879,1599.0,[*]CC([*])C(=O)Nc1ccc2c(c1)C(=O)c1ccccc1C2=O,low
7,[*]CC([*])OCCCCCCP(=O)(OC)C(=O)OCC(C)C,True,True,False,350.0,0.5,309.8829345703125,[*]CC([*])OCCCCCCP(=O)(OC)C(=O)OCC(C)C,0.4090909090909091,7267.0,[*]CC([*])OCCCCCC,low
8,[*]CC(=O)Sc1cccc2cc(NC(=O)OCC([*])(C)C(F)(F)F)ccc2C1=O,True,True,False,350.0,0.5,342.640380859375,[*]CC(=O)Sc1cccc2cc(NC(=O)OCC([*])(C)C(F)(F)F)ccc2C1=O,0.3582089552238806,2828.0,[*]COC(=O)Nc1ccc(Cc2ccc(NC(=O)OCC([*])(C)C)cc2)cc1,low
10,[*]C#Cc1ccc(OC(=O)c2ccc(Oc3ccc(C=CCC)cc3)cc2)c(C(=O)O)c1[*],True,True,False,350.0,0.5,414.7550048828125,[*]C#Cc1ccc(OC(=O)c2ccc(Oc3ccc(C=CCC)cc3)cc2)c(C(=O)O)c1[*],0.3384615384615385,6108.0,[*]c1ccc(OC(=O)c2ccc(Oc3ccc(C(=O)Oc4ccc(C([*])(C)C)cc4)cc3)cc2)cc1,low
11,[*]CCCCCCCO[Si](C)(C)c1cccc(C(=O)Nc2ccc(OC([*])=O)cc2)c1,True,True,False,350.0,0.5,315.5442199707031,[*]CCCCCCCO[Si](C)(C)c1cccc(C(=O)Nc2ccc(OC([*])=O)cc2)c1,0.4918032786885246,3828.0,[*]Nc1ccc(OCCCCCCCCOc2ccc(NC(=O)c3cccc(C([*])=O)c3)cc2)cc1,low
13,[*]OCCCCCC(=O)OC(=O)CCCCS([*])=NC,True,True,False,350.0,0.5,268.21710205078125,[*]OCCCCCC(=O)OC(=O)CCCCS([*])=NC,0.375,4382.0,[*]OCCCCCCOC(=O)C([*])=O,low
