sample_id,smiles,is_valid,is_unique,in_training_set,target_tg,sampling_temperature
0,[*]SC(=O)Nc1ccc(N2C(=O)CC(CC([*])=O)C(=O)OC(=O)C(C)(C)C2=O)cc1,True,True,False,500.0,0.8
1,[*]CCCCCOc1ccc(C(=O)NCCCCCNC(=O)c2ccc(OC(C)=O)cc2)c(Oc2ccc(-c3ccc(OC4(C)C)cc3)cc2)n1[*],False,True,False,500.0,0.8
2,[*]CC([*])C(=O)c1ccc(OCCC(C)c2ccc(Br)cc2)c(C)c1C,True,True,False,500.0,0.8
3,[*]NC(=O)Nc1ccc(CCCC(C)CCNC([*])C)s1,True,True,False,500.0,0.8
4,[*]Nc1ccc(C([*])C(=O)c2ccc(Cl)cc2)cc1,True,True,False,500.0,0.8
5,[*]CCCCCCOc1ccccc1C(=O)Nc1ccc(-c2ccc(N3C(=O)P([*])(=O)C3)cc2)cc1,True,True,False,500.0,0.8
6,[*]O[Si]([*])(C)CCCCCOc1ccc(-c2ccc(S(=O)(=O)c3ccc(OCCCCCC)cc3)cc2)cc1,True,True,False,500.0,0.8
7,[*]Oc1ccc(O[Si](C)(C)OC(=O)NCCCCCCCCCCCOC(=O)Oc2ccccc2[*])cc1,True,True,False,500.0,0.8
8,[*]C(=O)Oc1ccc(NC(=O)c2ccccc2-c2ccc(C(=O)SC([*])=O)cc2)c(C)c1,True,True,False,500.0,0.8
9,[*]CC(=O)c1cc(C(F)(F)C(F)(F)C(=O)N[*])cc(N(C)C[Si](C)(C)C)c1,True,True,False,500.0,0.8
10,[*]Oc1ccc2ccccc2c1OC(=O)c1ccc(OCc2ccc(O[*])c(C)c2)cc1,True,True,False,500.0,0.8
11,[*]CC(C)(C)COC(=O)c1ccc(/C=C/c2ccc(P(=O)(O[*])OCC)cc2)cc1,True,True,False,500.0,0.8
12,[*]c1ccc(Oc2ccc(C(Cl)(CCCCCC)C(F)(F)C([*])(F)F)cc2)cc1C=C,True,True,False,500.0,0.8
13,[*]CCCCCCCCOC(=O)OCCCCC(=O)OCCS(=O)(=O)c1ccc(/C=C/c2ccc(C(=O)N/[*])C#C)nc2)cc1,False,True,False,500.0,0.8
14,[*]CCCC(C#N)C(=O)N([*])CC(C)(C)C,True,True,False,500.0,0.8
15,[*]C#C[Si]([*])(C)c1ccc(COCCCCCC#C)cc1,True,True,False,500.0,0.8
16,[*]Cc1ccc(C(O)CC(NC(=O)C([*])(C(F)(F)F)C(F)(F)F)C(F)(F)C(F)(F)F)cc1,True,True,False,500.0,0.8
17,[*]/C=C/c1ccc(OC(=O)C(CC)NCCCCCC(=O)Oc2ccc([*])cc2)cc1,True,True,False,500.0,0.8
18,[*]CCCCOC(=O)CC(C=CO[*])OCC,True,True,False,500.0,0.8
19,[*]C(=O)NC([*])(C)C(=O)OCCC[Si](C)(C)COC(=O)O,True,True,False,500.0,0.8
20,[*]CC([*])C(=O)Oc1ccc2c(c1)CC1(O)N2C,False,True,False,500.0,0.8
21,[*]/C=C/c1ccc(OC2CC([*])(C(=O)OCCCCCCCCCC)C2)c(Oc2c(Cl)cccc2OCC)c1,True,True,False,500.0,0.8
22,[*]CCc1ccc(-c2ccc(C(=O)NCCCCCCCCNC(=O)c3cccc([*])c3)cc2)c(C)c1,True,True,False,500.0,0.8
23,[*]CCOc1ccc([*])c(-c2ccc(NCCCCCC)cc2)c1,True,True,False,500.0,0.8
24,[*]CC([*])Cn1cccc1[Ge](C)(C)CC,True,True,False,500.0,0.8
25,[*]CC([*])C(=O)NCCCCCCOCCOc1ccc(/N=N/c2ccc(OC(F)C(F)(F)C(F)(F)F)cc2)cc1,True,True,False,500.0,0.8
26,[*]C/C=C/c1ccc(COC(=O)Nc2ccc(OCCCCCCCCS[*])c(OC)c2)cc1,True,True,False,500.0,0.8
27,[*]Cc1ccc(NC(=O)CCCCCCc2ccc(C(=O)N[*])cc2)cc1,True,True,False,500.0,0.8
28,[*]CCCOc1ccc(NC(=O)c2ccc(/N=C/c3ccc(-c4ccc(C([*])=O)cc4)c(=O)c3)cc2)cc1,False,True,False,500.0,0.8
29,[*]C=C(N[*])c1ccc(C(=O)OCCCCO)cc1-c1ccccc1,True,True,False,500.0,0.8
30,[*]Oc1ccc(C2(c3ccc(C([*])=O)cc3)C(=O)NC(=O)c3ccccc32)cc1,True,True,False,500.0,0.8
31,[*]C(C)(C)C#CC=CCNC(=O)O[*],True,True,False,500.0,0.8
32,[*]OC(=O)c1ccc(C(F)(F)F)cc1NC(=O)OCC([*])=O,True,True,False,500.0,0.8
33,[*]O[Si]([*])(C)CCCOc1ccc(OC(=O)c2ccc(COCC(F)(F)F)cc2)cc1,True,True,False,500.0,0.8
34,[*]CC([*])CCN(CCCC)C(=O)c1ccc(P(=O)(O)O[Si](C)(C)CCCCC(F)(F)F)c(C(=O)OC)c1,True,True,False,500.0,0.8
35,[*]CC/C=C(/[*])c1ccccc1CCC(=O)OCCOc1ccc([Si](=O)(O)O)cc1,True,True,False,500.0,0.8
36,[*]CCCc1ccc(COC2C(=O)N(c3ccc(C(=O)c4cccc(O[*])c4)cc3)[SH]2)cc1,True,True,False,500.0,0.8
37,[*]CCCCCCOCCCCCOc1ccc(CCNC(=O)Nc2ccc(N[*])cc2)nc1,True,True,False,500.0,0.8
38,[*]CC(CC(=O)OCCCCCCCCCCOC(=O)N[*])c1ccc(N(C)C)cc1,True,True,False,500.0,0.8
39,[*]CC([*])CCCCNC(=O)c1ccc(/C=C/CCCCCC(=O)NCC)cc1,True,True,False,500.0,0.8
40,[*]CC([*])(C)C(=O)OCCC(C)NS(=O)(=O)C1CCOC1,True,True,False,500.0,0.8
41,[*]CC([*])C(CCC)(CCCCCCCCCCl)C(=O)OC[NH](C)CC,False,True,False,500.0,0.8
42,[*]Oc1ccc(CCCCc2ccc(C)c(OC([*])=O)c2)cc1C(F)(F)F,True,True,False,500.0,0.8
43,[*]Nc1cc([*])c(OCCCC)cc1OC(=O)Oc1ccc(S(=O)(=O)S(=O)[O-])cc1,True,True,False,500.0,0.8
44,[*]C=C(CC)c1ccc(-n2on2-c2cccc(/C=C/C(=O)O[*])c2)cc1,True,True,False,500.0,0.8
