source_row,sample_id,smiles,is_valid,is_unique,in_training_set,pred_model1,pred_model2,pred_mean,pred_min,pred_max,pred_delta_abs,model1_name,model2_name
0,0,[*]CC([*])OC(=O)C(CC)(C)C(=O)NC(F)(F)F,True,True,False,382.9548645019531,339.4211730957031,361.1880187988281,339.4211730957031,382.9548645019531,43.53369140625,multimodal,graph
1,1,[*]CCCCCOC(=O)c1ccc(Nc2ccc(C(=O)/C=C/CCCCCCN3C(=O)c4cccc([*])c4C3=O)cc2)cc1,True,True,False,363.659912109375,389.8978271484375,376.77886962890625,363.659912109375,389.8978271484375,26.2379150390625,multimodal,graph
2,2,[*]c1ccc(COc2ccc(N3C(=O)c4ccc([*])cc4C3=O)c(Br)c2)cc1OCC(=O)OCCCCCCCC,True,True,False,358.9766845703125,386.2690124511719,372.6228485107422,358.9766845703125,386.2690124511719,27.292327880859375,multimodal,graph
3,3,[*]CC([*])(C)C(=O)NCCCCOc1ccc(C=C(CC)c2ccccc2)s1,True,True,False,359.6899719238281,379.4128723144531,369.5514221191406,359.6899719238281,379.4128723144531,19.722900390625,multimodal,graph
4,4,[*]Oc1ccc(S([*])(=O)CCCCCCCc2ccc(Cc3ccc(OC(=O)c4ccccc4)cc3)cc2)cc1,True,True,False,356.1074523925781,347.6161804199219,351.86181640625,347.6161804199219,356.1074523925781,8.49127197265625,multimodal,graph
5,5,[*]C(=O)NCCCCCc1ccc([Si]([*])(OC)OCCO)cc1-c1ccccc1,True,True,False,358.7435607910156,337.1872253417969,347.96539306640625,337.1872253417969,358.7435607910156,21.55633544921875,multimodal,graph
6,6,[*]CC([*])(C)C(=O)Oc1ccc(CCCCCCOc2ccccc2C)cc1,True,True,False,304.7593078613281,324.54034423828125,314.6498260498047,304.7593078613281,324.54034423828125,19.781036376953125,multimodal,graph
7,7,[*]CC(CCCCCO)OC(=O)[Se]CCC(C)(C)O[*],True,True,False,329.27276611328125,252.7328338623047,291.00279998779297,252.7328338623047,329.27276611328125,76.53993225097656,multimodal,graph
8,8,[*]CC(=O)Sc1cccc(N(C(=O)O[*])CCCC(F)(F)C(C)(C)C)c1[Na],True,True,False,407.249267578125,378.700439453125,392.974853515625,378.700439453125,407.249267578125,28.548828125,multimodal,graph
9,9,[*]CC1CCC(NC(=O)C(C)c2ccc(C(=O)OCCCCOc3ccc(C(=O)N([*])C)cc3)cc2)c(C)c1,True,True,False,393.0909118652344,391.36370849609375,392.22731018066406,391.36370849609375,393.0909118652344,1.727203369140625,multimodal,graph
10,10,[*]/C=C/c1ccc(OC(=O)c2ccc(OC#Cc3ccc(C(=O)O)cc3)cc2)c([*])c1Br,True,True,False,423.6274719238281,455.80499267578125,439.7162322998047,423.6274719238281,455.80499267578125,32.177520751953125,multimodal,graph
11,11,[*]CCCCCCCOC(=O)Nc1ccc([Si](C)(C)c2ccccc2OC([*])=O)cc1,True,True,False,364.8841857910156,317.9094543457031,341.3968200683594,317.9094543457031,364.8841857910156,46.9747314453125,multimodal,graph
12,13,[*]CCCCC(=O)OCCCCCCOC(=O)CCS([*])=O,True,True,False,252.30654907226562,252.43089294433594,252.36872100830078,252.30654907226562,252.43089294433594,0.1243438720703125,multimodal,graph
13,14,[*]CCN([*])CCS(=O)(=O)c1ccc(N(C)c2cc(OC)c(NC(=O)Nc3ccc(C)cc3)cc2)cc1,True,True,False,402.8993835449219,385.3667907714844,394.1330871582031,385.3667907714844,402.8993835449219,17.5325927734375,multimodal,graph
14,15,[*]C#Cc1ccc(OCCCCCCOc2ccc(S(=O)(=O)c3ccc(CC[*])cc3)cc2)s1,True,True,False,362.749755859375,341.1097717285156,351.9297637939453,341.1097717285156,362.749755859375,21.639984130859375,multimodal,graph
15,17,[*]CCOc1ccc(NC(=O)c2ccc(CCCCC([*])=S)cc2)c(OC)c1,True,True,False,415.2644958496094,410.4360046386719,412.8502502441406,410.4360046386719,415.2644958496094,4.8284912109375,multimodal,graph
16,18,[*]CCCC/C=C(/[*])C[SH](C)C,True,True,False,346.1639404296875,288.024169921875,317.09405517578125,288.024169921875,346.1639404296875,58.1397705078125,multimodal,graph
17,19,[*]CCC([*])C(=O)OC(=O)NOC(C)C[N+](C)(CC)C,True,True,False,311.0573425292969,323.60308837890625,317.33021545410156,311.0573425292969,323.60308837890625,12.545745849609375,multimodal,graph
18,21,[*]/C=C/c1ccc(COC(=O)OCC(CCCCC)c2ccc(Br)cc2)cc1CS[*],True,True,False,317.775146484375,326.61358642578125,322.1943664550781,317.775146484375,326.61358642578125,8.83843994140625,multimodal,graph
