mol_id,psmiles,num_nodes,num_edges,csv_row,file_path
0,[*]SC(=O)Nc1ccc(N2C(=O)CC(CC([*])=O)C(=O)OC(=O)C(C)(C)C2=O)cc1,30,31,0,demo/finetune_high_Tg/scored/cond/graphs/batch_0/0.npz
2,[*]CC([*])C(=O)c1ccc(OCCC(C)c2ccc(Br)cc2)c(C)c1C,26,27,2,demo/finetune_high_Tg/scored/cond/graphs/batch_0/2.npz
3,[*]NC(=O)Nc1ccc(CCCC(C)CCNC([*])C)s1,21,21,3,demo/finetune_high_Tg/scored/cond/graphs/batch_0/3.npz
4,[*]Nc1ccc(C([*])C(=O)c2ccc(Cl)cc2)cc1,19,20,4,demo/finetune_high_Tg/scored/cond/graphs/batch_0/4.npz
5,[*]CCCCCCOc1ccccc1C(=O)Nc1ccc(-c2ccc(N3C(=O)P([*])(=O)C3)cc2)cc1,36,39,5,demo/finetune_high_Tg/scored/cond/graphs/batch_0/5.npz
6,[*]O[Si]([*])(C)CCCCCOc1ccc(-c2ccc(S(=O)(=O)c3ccc(OCCCCCC)cc3)cc2)cc1,39,41,6,demo/finetune_high_Tg/scored/cond/graphs/batch_0/6.npz
7,[*]Oc1ccc(O[Si](C)(C)OC(=O)NCCCCCCCCCCCOC(=O)Oc2ccccc2[*])cc1,38,39,7,demo/finetune_high_Tg/scored/cond/graphs/batch_0/7.npz
8,[*]C(=O)Oc1ccc(NC(=O)c2ccccc2-c2ccc(C(=O)SC([*])=O)cc2)c(C)c1,32,34,8,demo/finetune_high_Tg/scored/cond/graphs/batch_0/8.npz
9,[*]CC(=O)c1cc(C(F)(F)C(F)(F)C(=O)N[*])cc(N(C)C[Si](C)(C)C)c1,27,27,9,demo/finetune_high_Tg/scored/cond/graphs/batch_0/9.npz
10,[*]Oc1ccc2ccccc2c1OC(=O)c1ccc(OCc2ccc(O[*])c(C)c2)cc1,32,35,10,demo/finetune_high_Tg/scored/cond/graphs/batch_0/10.npz
11,[*]CC(C)(C)COC(=O)c1ccc(/C=C/c2ccc(P(=O)(O[*])OCC)cc2)cc1,30,31,11,demo/finetune_high_Tg/scored/cond/graphs/batch_0/11.npz
12,[*]c1ccc(Oc2ccc(C(Cl)(CCCCCC)C(F)(F)C([*])(F)F)cc2)cc1C=C,31,32,12,demo/finetune_high_Tg/scored/cond/graphs/batch_0/12.npz
14,[*]CCCC(C#N)C(=O)N([*])CC(C)(C)C,16,15,14,demo/finetune_high_Tg/scored/cond/graphs/batch_0/14.npz
15,[*]C#C[Si]([*])(C)c1ccc(COCCCCCC#C)cc1,21,21,15,demo/finetune_high_Tg/scored/cond/graphs/batch_0/15.npz
16,[*]Cc1ccc(C(O)CC(NC(=O)C([*])(C(F)(F)F)C(F)(F)F)C(F)(F)C(F)(F)F)cc1,32,32,16,demo/finetune_high_Tg/scored/cond/graphs/batch_0/16.npz
17,[*]/C=C/c1ccc(OC(=O)C(CC)NCCCCCC(=O)Oc2ccc([*])cc2)cc1,31,32,17,demo/finetune_high_Tg/scored/cond/graphs/batch_0/17.npz
18,[*]CCCCOC(=O)CC(C=CO[*])OCC,17,16,18,demo/finetune_high_Tg/scored/cond/graphs/batch_0/18.npz
19,[*]C(=O)NC([*])(C)C(=O)OCCC[Si](C)(C)COC(=O)O,21,20,19,demo/finetune_high_Tg/scored/cond/graphs/batch_0/19.npz
21,[*]/C=C/c1ccc(OC2CC([*])(C(=O)OCCCCCCCCCC)C2)c(Oc2c(Cl)cccc2OCC)c1,39,41,21,demo/finetune_high_Tg/scored/cond/graphs/batch_0/21.npz
22,[*]CCc1ccc(-c2ccc(C(=O)NCCCCCCCCNC(=O)c3cccc([*])c3)cc2)c(C)c1,37,39,22,demo/finetune_high_Tg/scored/cond/graphs/batch_0/22.npz
23,[*]CCOc1ccc([*])c(-c2ccc(NCCCCCC)cc2)c1,24,25,23,demo/finetune_high_Tg/scored/cond/graphs/batch_0/23.npz
24,[*]CC([*])Cn1cccc1[Ge](C)(C)CC,15,15,24,demo/finetune_high_Tg/scored/cond/graphs/batch_0/24.npz
25,[*]CC([*])C(=O)NCCCCCCOCCOc1ccc(/N=N/c2ccc(OC(F)C(F)(F)C(F)(F)F)cc2)cc1,41,42,25,demo/finetune_high_Tg/scored/cond/graphs/batch_0/25.npz
26,[*]C/C=C/c1ccc(COC(=O)Nc2ccc(OCCCCCCCCS[*])c(OC)c2)cc1,34,35,26,demo/finetune_high_Tg/scored/cond/graphs/batch_0/26.npz
27,[*]Cc1ccc(NC(=O)CCCCCCc2ccc(C(=O)N[*])cc2)cc1,27,28,27,demo/finetune_high_Tg/scored/cond/graphs/batch_0/27.npz
29,[*]C=C(N[*])c1ccc(C(=O)OCCCCO)cc1-c1ccccc1,25,26,29,demo/finetune_high_Tg/scored/cond/graphs/batch_0/29.npz
30,[*]Oc1ccc(C2(c3ccc(C([*])=O)cc3)C(=O)NC(=O)c3ccccc32)cc1,29,32,30,demo/finetune_high_Tg/scored/cond/graphs/batch_0/30.npz
31,[*]C(C)(C)C#CC=CCNC(=O)O[*],14,13,31,demo/finetune_high_Tg/scored/cond/graphs/batch_0/31.npz
32,[*]OC(=O)c1ccc(C(F)(F)F)cc1NC(=O)OCC([*])=O,22,22,32,demo/finetune_high_Tg/scored/cond/graphs/batch_0/32.npz
33,[*]O[Si]([*])(C)CCCOc1ccc(OC(=O)c2ccc(COCC(F)(F)F)cc2)cc1,31,32,33,demo/finetune_high_Tg/scored/cond/graphs/batch_0/33.npz
34,[*]CC([*])CCN(CCCC)C(=O)c1ccc(P(=O)(O)O[Si](C)(C)CCCCC(F)(F)F)c(C(=O)OC)c1,38,38,34,demo/finetune_high_Tg/scored/cond/graphs/batch_0/34.npz
