sample_id,smiles,is_valid,is_unique,in_training_set
0,[*]SC(=O)Nc1ccc(N2C(=O)CC(C(=O)NNC(=O)C([*])=O)C(=O)OC(C)(C)C2)cc1,True,True,False
1,[*]CCCCCOc1ccc(C(=O)NCCCCCCNC(=O)c2ccc(OCc3ccc(-c4ccc([*])cc4)cc3)cc2)c(COC(C)(C)C)c1,True,True,False
2,[*]CC([*])C(=O)c1ccc(OCCC(C)c2ccc(Br)cc2)c(C)c1C,True,True,False
3,[*]NC(=O)NCCCCC(C)CC1CC([*])C(C)(C)C1,True,True,False
4,[*]Nc1ccc(C([*])C(=O)c2ccc(Cl)cc2)cc1,True,True,False
5,[*]CCCCCCOc1ccccc1[Si](=O)Nc1ccc(C2C(=O)N(c3ccc(C([*])=O)cc3)C2=O)cc1,True,True,False
6,[*]O[Si]([*])(C)CCCCCOc1ccc(-c2ccc(S(=O)(=O)Oc3ccc(OCCCCCC)cc3)cc2)cc1,True,True,False
7,[*]Oc1ccc(O[Si](C)(C)OC(=O)NCCCCCCCCCCCOC(=O)OCC)c([*])c1,True,True,False
8,[*]C(=O)Oc1ccc(NC(=O)c2ccccc2-c2ccc(C(=O)OC([*])=O)cc2)c(C)c1,True,True,False
9,[*]CC(=O)c1cc(C(F)(F)C(F)(F)F)cc(N(C)CCCC(=O)N[*])c1,True,True,False
10,[*]Oc1ccc(-c2ccc(OC(=O)c3ccc4c(c3)C(=O)OCc3ccc(C=[*])cc3)cc2)cc1CC(F)F,False,True,False
11,[*]CC(C)(C)CCCCCCOC(=O)c1ccc(/C=N/c2ccc(S(=O)(=O)O[*])cc2)cc1,True,True,False
12,[*]c1ccc(Oc2ccc(C(Cl)(CCCCCC)C(F)(F)C([*])(F)F)cc2C)cc1,True,True,False
13,[*]CCCCCCCCCOC(=O)OCCCC(=O)OCCSS(=O)(=O)c1ccc(C(=O)/C=C/c2ccc(/C=C/O[*])cc2)nc1,True,True,False
14,[*]CCCC(C#N)C(=O)N([*])CC(C)(C)C,True,True,False
15,[*]C#C[Si]([*])(C)c1ccc(COCCCCCC#C)cc1,True,True,False
16,[*]Cc1ccc(C(O)CC(C(=O)N([*])C#N)C(F)(F)C(F)(F)C(F)(F)F)cc1,True,True,False
17,[*]Oc1ccc(CC(NC(=O)c2ccc(OCCCCCC(C)=O)cc2)C([*])C)cc1,True,True,False
18,[*]CCCCOC(=O)CC(CC=C)(CO[*])C(=O)OC,True,True,False
19,[*]C(=O)NC([*])(C)C(=O)OCCC[Si](C)(C)COC(=O)O,True,True,False
20,[*]CC([*])C(=O)Oc1ccc2c(c1)CC1(O)O2,False,True,False
21,[*]/C=C/c1c(Cl)cc(C(c2ccc([*])cc2)OCCCCCCCCCC)c(OC)c1O,True,True,False
22,[*]CCc1ccc(C(=O)NCCCCCCCCNC(=O)c2ccc(O[*])c(C)c2)cc1,True,True,False
23,[*]CCOc1ccc([*])c(NCCCCCC)c1,True,True,False
24,[*]CC([*])CC[Se](C)(C)O,True,True,False
25,[*]CC([*])C(=O)NCCCCCCCOC=CCOc1ccc(N(F)C(F)(F)C(F)(F)C(F)(F)F)cc1,True,True,False
26,[*]C/C=C/c1ccc(COC(=O)Nc2ccc(OCCCCCCCCS[*])cc2)c(OC)c1,True,True,False
27,[*]Cc1ccc(NC(=O)CCCCCC(C(=O)N[*])c2ccccc2)cc1,True,True,False
28,[*]CCCOc1ccc(NC(=O)c2ccc(/N=C/c3ccc(-c4ccc(C([*])=O)cc4)c(-c4ccccc4)c3)cc2)cc1,True,True,False
29,[*]CC=C(O)c1ccc(C(=O)OCCCCO[*])cc1-c1ccccc1,True,True,False
30,[*]Oc1ccc(C2(c3ccc(C([*])=O)cc3)C(=O)NC(=O)c3ccc(C=O)cc3)C2)cc1,False,True,False
31,[*]C(C)(C)C#CC=CCNC(=O)O[*],True,True,False
32,[*]OC(CC(F)(F)F)NC(=O)c1ccc(C(=O)O[*])cc1S(=O)(=O)O,True,True,False
33,[*]O[Si]([*])(C)CCCOc1ccc(C(=O)OCCc2ccc(OC(F)=O)cc2)cc1,True,True,False
34,[*]CC([*])CCN(CCCC)C(=O)c1ccc(P(=O)(O)O[Si](C)(C)CCCCC(=O)OCC)c(C(F)(F)F)c1,True,True,False
35,[*]CC/C=C(/[*])c1ccccc1CCC(=O)OCCOc1ccc([Si](=O)(O)O)cc1,True,True,False
36,[*]CCCCC1CCC(COC(=O)c2ccc(N(c3ccc(C(=O)O[*])cc3)SC)cc2)C1,True,True,False
37,[*]CCCCCCCOC(=O)CCCCCN1CCC(-c2ccc(CNC(=O)O[*])cc2)CC1,True,True,False
38,[*]CC(CC(=O)OCCCCCCCCCCOC(=O)N[*])c1ccc(N(C)C)cc1,True,True,False
39,[*]CC([*])CCCCNC(=O)c1ccc(/C=C/CCCCCC(=O)NCC(C)C)cc1,True,True,False
40,[*]CC([*])(C)C(=O)OCCC(C)NSC(=O)C(F)(F)F,True,True,False
41,[*]CC([*])C(C)(CCCCCCCC)C(=O)OCC[N+](C)(CC)CC,True,True,False
42,[*]Oc1ccc(/C=C/c2ccc(O[*])c(CCCCC)c2)cc1C,True,True,False
43,[*]Nc1cc([*])c(C)cc1OCCCCC(=O)Oc1ccc(S(CC)=O)cc1,True,True,False
44,[*]C[Sn](C)(C)CNc1ccc(P(=O)(/C=C/CCC(=O)O[*])c2ccccc2)cc1,True,True,False
45,[*]OC(=O)c1ccc(C2CCC(C(=O)OCCc3ccc(O[*])cc3)C2=O)c(-c2ccccc2)c1,True,True,False
46,[*]CC([2H])(F)C(=O)OCCOC(=O)N(C)C(F)(F)C(F)(F)C([*])(C)Nc1ccccc1,True,True,False
47,[*]CN([*])CCCCCCC(=O)Nc1ccc(-c2ccccc2)cc1C,True,True,False
48,[*]C#Cc1ccc(N=[*])c(OCCCCCCCCCCCCC)c1,True,True,False
49,[*]/C=C/c1ccc(OC(=O)c2cc(OCCN(CC)c3ccccc3)cc(C(C)CCCC)c2)cc1C(=O)OC(C)=O,True,True,False
50,[*]CC(=O)c1ccc(NC(=O)C(CCCCC(C)=O)C(=O)N[*])cc1,True,True,False
51,[*]Cc1ccc(Cc2ccc(NC(=O)CCCCCCCCC([*])OC(=O)c3ccccc3)cc2)cc1,True,True,False
52,[*]/C=C/CCCCCCCCCCCCCCOP(=O)(C(=O)Nc1cccc(N=[*])c1)OCC(C)C#C,True,True,False
53,[*]Cc1cc2c(=O)nc3cc4c(=O)n(-c4cccc(C([*])=O)c4)cccc3n(c2c1)Cl,False,True,False
54,[*]CCCN(CC(=O)NCc1ccc(C#N)cc1)C(=O)c1ccc(C(C#N)(C#N)CCCCCCC(=O)O[*])cc1,True,True,False
55,[*]CC([*])(C)C(=O)OCC(C)COC(=O)OCC,True,True,False
56,[*]CCOCCOc1cc(NC(=O)c2ccc3c(c2)C(=O)N([*])C3=O)cc(C(=O)OCCCC)c1O,True,True,False
57,[*]C([*])(C)Cc1ccc(OCCCCCOc2ccc(N3CCCC3C)cc2)cc1,True,True,False
58,[*]OCC(CCCCCC)C([*])[2H],True,True,False
59,[*]Oc1ccc(C(c2ccccc2)c2ccc(Oc3ccc(C([*])=O)cc3)cc2)cc1,True,True,False
60,[*]CC=C(O)c1cccc(OC(=O)C(F)(F)c2ccc(C([*])=O)cc2)c1,True,True,False
61,[*]CCC(=O)NCCCC/C=C/CC1CCC(NC(=O)N[*])CC1,True,True,False
62,[*]CCCCCNc1ccc(NC(=O)CCCCC(C(=O)N[*])c2ccc(OC)cc2)cc1,True,True,False
63,[*]Oc1ccc(OC(=O)c2ccc(CC(CCCCCCC)c3ccc(S([*])(=O)=O)cc3)cc2)c(-c2ccc(Br)cc2)c1,True,True,False
64,[*]CCCCC(=O)N/C=C/[Si](C)(C)C(=O)NCCCCCCCOC(=O)c1ccccc1C(=O)O[*],True,True,False
65,[*]Oc1ccc(C2(c3ccc(OC(=O)Cl)cc3OC3CCCC3C)CCl)cc1[*],False,True,False
66,[*]CC([*])(C)C(=O)Oc1cc(C(F)(F)F)ccc1N(CCC[Si](C)(C)C)c1ccc([N+](=O)[O-])cc1,True,True,False
67,[*]CCCCCCCCN=C(C)C(=O)OCCCNc1ccc([*])nc1,True,True,False
68,[*]CC(C)(C)C(=O)NCCCCCCCCCCc1ccc(C([*])=O)cc1,True,True,False
69,[*]Oc1ccc(C(=O)NNC(=O)c2ccc(NC([*])=O)cc2)c2ccc(Cl)cc12,True,True,False
70,[*]N=P([*])(C)CCCCCCCCCCCC)c1ccc(C(=O)OC(CC)CC=C)cc1,False,True,False
