Test id,PSMILES,Multimodal Prediction  Tg /K,Unimodal Prediction Tg /K,Δ /K,MD Tg /K,relative deviation %
1,[*]NNC(=O)c1ccc(Cc2cc(S(=O)(=O)Nc3ccc([*])cc3)ccc2C)c(N=C)c1,492.287567,495.3756409,3.088,454.3,8.361780101
2,[*]Oc1ccc(NC(=O)c2ccc(CC(=O)Oc3ccc([*])cc3)cc2)c2ccccc12,476.740265,469.8655396,6.875,444.3,7.301432591
3,[*]OS(=O)(=O)c1ccc(Cc2ccc(N3C=Cc4ccc([*])cc4C3=O)cc2)c(-c2ccccc2)c1,459.848114,444.0916443,15.756,469.6,2.076636712
4,[*]Oc1ccc(C(=O)c2ccc(Nc3cccc(-c4ccc(S([*])(=O)=O)cc4)c3)cc2)cc1,456.443909,454.7076416,1.736,463.8,1.586048081
5,[*]c1ccc(CCCCCOc2ccc(-n3c([*])c4ccccc4c3)cc2S(=O)(=O)O)c(Cl)c1,443.940918,449.8930054,5.952,415.5,6.844986282
6,[*]CC(O)COc1ccc(C(C)(C)c2ccc(OC(=O)c3cc(OCCC)cc(C([*])=O)c3)cc2)c(-c2ccccc2)c1,399.28479,397.2309265,2.054,430.1,7.164661707
7,[*]/C=C/c1ccccc1CCC(O)CNC(=O)c1ccc(N(C(=O)CCCCCCOc2ccc([*])c(O)c2)cc1)c1ccccc1,389.390808,387.6582642,1.733,413.2,5.762147144
8,[*]COc1ccc(N(CC)c2ccc(C(=O)c3cccc(OC(=O)SCCC([*])(C)C)c3)cc2)cc1,387.417877,387.3169556,0.101,411.1,5.760672099
9,[*]OP(=O)(O)OCCOC(=O)c1cccc(C(C)(C)c2ccc(OC(=O)c3ccc([*])cc3)cc2)c1CCC,338.946777,341.6051025,2.658,455.6,25.60430707
10,[*]CC([*])(C)COc1ccc(C(=O)OCCCCC(CO)=Nc2ccc(OC(=O)c3ccccc3)cc2)cc1,336.920288,333.7706299,3.15,408.8,17.5830998
11,[*]CC([*])C(=O)OCC(C)(C)CCCCCCOc1cccc(S(=O)(=O)c2ccc(OC)cc2)c1,303.700195,314.6375122,10.937,360.1,15.66226187
12,[*]CCN(CCCC([*])(C#N)CSC(=O)OCCCC)NC,302.416992,295.2412109,7.176,321.8,6.023308888
13,[*]CC([*])OC1CC1N(C)c1ccc(C(=O)Oc2ccc(S(=O)(=O)CCC)cc2)s1,350.527527,343.5310059,6.997,415,15.53553566
14,[*]C/C=C/c1ccc(C(CBr)(COC(=O)c2ccc(Cl)cc2)OCCCCCCCC)c([*])c1,340.522583,342.2723999,1.75,389.4,12.55198177
15,[*]c1ccc(OCCOc2ccc(C(C)(C)c3ccc([*])cc3)cc2)cc1,368.313232,368.3110046,0.002,407.1,9.527577499
16,[*]CC([*])c1ccc(C(=O)NCCC)cc1/C=N/c1ccc(O)cc1,398.214386,403.6970825,5.483,466,14.5462691
17,[*]/C(=N/c1ccc(C(=O)S[*])c(OCCCCC(F)(F)F)c1)c1ccccc1,395.958893,374.425415,21.533,403,1.747172953
18,[*]Cc1ccc(/C=C/c2ccc(OC(=O)c3cc(CCl)cc([*])c3)cc2OCCCC)cc1,409.76886,412.1954346,2.427,413.4,0.878359942
19,[*]NC(CO)C(=O)Nc1cccc(CC([*])=O)c1,448.422089,425.909729,22.512,480.1,6.598190169
20,[*]CC(=O)Oc1ccc(S(=O)(=O)c2ccc(OC(=O)c3ccc(C)cc3)cc2)c(OC([*])=O)c1,443.990143,433.633667,10.356,482.9,8.057539242
21,[*]Cc1ccc(CS(=O)(=O)c2cc(C([*])(C)C)cc(-c3ccccc3)c2)cc1C,475.955994,475.8215027,0.134,499.7,4.751652191
