mol_id,num_nodes,num_edges,csv_row,file_path
0,22,22,0,design_outputs/graphs/batch_0/0.npz
1,27,28,1,design_outputs/graphs/batch_0/1.npz
2,45,47,2,design_outputs/graphs/batch_0/2.npz
3,22,23,3,design_outputs/graphs/batch_0/3.npz
4,36,37,4,design_outputs/graphs/batch_0/4.npz
5,19,19,5,design_outputs/graphs/batch_0/5.npz
6,28,28,6,design_outputs/graphs/batch_0/6.npz
7,29,29,7,design_outputs/graphs/batch_0/7.npz
8,28,27,8,design_outputs/graphs/batch_0/8.npz
9,21,21,9,design_outputs/graphs/batch_0/9.npz
10,34,35,10,design_outputs/graphs/batch_0/10.npz
11,32,32,11,design_outputs/graphs/batch_0/11.npz
12,26,25,12,design_outputs/graphs/batch_0/12.npz
13,24,25,13,design_outputs/graphs/batch_0/13.npz
14,19,18,14,design_outputs/graphs/batch_0/14.npz
15,39,39,15,design_outputs/graphs/batch_0/15.npz
16,28,28,16,design_outputs/graphs/batch_0/16.npz
17,21,21,17,design_outputs/graphs/batch_0/17.npz
18,36,38,18,design_outputs/graphs/batch_0/18.npz
19,24,24,19,design_outputs/graphs/batch_0/19.npz
