mol_id,PSMILES,pred_norm,pred
0,[*]CCN(CC(F)(F)F)c1cc(C)c(N=[*])c(CC(C)C)c1,-0.35223251581192017,377.53521728515625
1,[*]CCOCCCCOC(=O)C(c1ccccc1)c1ccc(N([*])O)cc1,-0.8110440969467163,325.88580322265625
2,[*]CCCCCCCCCOC(=O)Nc1ccc(Cc2ccc(CSCCCCCOC([*])=O)cc2Sc2ccccc2)cc1,-1.0049558877944946,304.0567321777344
3,[*]CCc1ccc(C=C(C=O)c2ccc(O[*])cc2)cc1C,0.23585441708564758,443.7374572753906
4,[*]/C=C/c1ccc(CCCCCCCC(=O)OCc2ccc(OCC(C)C([*])Cl)c([N+](=O)[O-])c2)cc1,-0.8056697845458984,326.49078369140625
5,[*]OC(=O)N(C)C(=O)OCc1cc(Br)cc([*])c1C,-0.5767627954483032,352.25933837890625
6,[*]CCCCCCCOC(=O)SCc1ccc(CC(COC)C(=O)N[*])cc1,-1.1002366542816162,293.33074951171875
7,[*]/C=C/CCCC/C(=N\c1ccc(OCCCCCCCC)cc1)[Si]([*])(C)C#N,-0.7995487451553345,327.1798400878906
8,[*]CCCCCCOC(=O)CCCCCC(=O)NCCCCCNC(=O)S[*],-0.9086520671844482,314.8978576660156
9,[*]CC(=O)/C=C/c1cc(OCCCC)cc([Si]([*])(C)C)c1,-0.6694200038909912,341.8287353515625
10,[*]O[Si]([*])(C)c1ccc(OCCCC(F)(F)CCC(F)(F)c2ccc(OC(F)(F)F)cc2)cc1,-0.9381468296051025,311.57757568359375
11,[*]O[Si]([*])(CCCCCCOCCOC)OCCOC(=O)c1ccc(S(=O)(=O)O[Na])cc1,-1.0954622030258179,293.86822509765625
12,[*]CNC(=O)OCCCCCC[Si](C)(C)CC(=O)NCCCNC([*])=O,-1.1335890293121338,289.5762023925781
13,[*]CC([*])c1ccc([N+](=O)[O-])cc1-c1ccc(CCCCC)cc1,-0.0679093673825264,409.5420837402344
14,[*]CC(COCC(C)[SH]([*])=O)CCC(C)(C)CCC,-1.2290726900100708,278.827392578125
15,[*]Oc1cc(OCCCCCCCCCCCCCCOC(=O)/C=C/C=C/C(=O)O[*])ccc1CCCCC,-0.7761540412902832,329.8134460449219
16,[*]CCOC(=O)Nc1ccc(CS(=O)(=O)CCCC(C)(C)C)cc1S([*])(=O)=O,-0.48596706986427307,362.48040771484375
17,[*]OCCP(C)(C=O)COC(=O)c1ccc(N([*])CC)s1,-1.3040975332260132,270.3817138671875
18,[*]NC(=O)/C=C/c1ccc(Cc2ccc(NC(=O)Cc3ccc(C(O[*])=O)cc3)cc2)c(C(C)C)c1,0.2700463831424713,447.5865173339844
19,[*]CC(C[*])COC(=O)C(=O)NCCC(C)Cc1ccc(C)cc1,-0.631006121635437,346.153076171875
