sample_id,smiles,is_valid,is_unique,in_training_set,target_tg,sampling_temperature
0,[*]CCN(CC(=O)Nc1cc(C)cc(C([*])=O)c1)CC(F)(F)C(F)(F)F,True,True,False,350.0,0.7
1,[*]COCCCCC(=O)Nc1ccc(OC(=[*])c2ccccc2)cc1,True,True,False,350.0,0.7
2,[*]CCCCCCCCOc1ccc(C(=O)Nc2ccc(CSc3ccccc3OCCCCCSc3ccc(NC([*])=O)cc3)cc2C=C2)cc1,False,True,False,350.0,0.7
3,[*]CCc1ccc(C=Cc2ccc(C(=[*])OC)cc2)cc1,True,True,False,350.0,0.7
4,[*]Cc1ccc(CC(=O)CCCCCCC(=O)Nc2ccc(OCc3cc(Cl)c([*])o3)c(OCC(C)(C)C)c2)cc1,True,True,False,350.0,0.7
5,[*]NC(=O)OC(=O)c1c(Cl)ccc1C(=O)OC(C)[Si]([*])(C)C,False,True,False,350.0,0.7
6,[*]CCCCCCC(=O)OCc1ccc(CN(Cc2ccc(C([*])=O)cc2)C2CC)cc1,False,True,False,350.0,0.7
7,[*]=C=C/c1cc(OCCCCCCCCN([Si]([*])(NCC)C#N)c2ccccc2)ccc1,True,True,False,350.0,0.7
8,[*]CCCCCCCCNC(=O)C(=O)NCCCCCCCOC(=O)C([*])CCSCC,True,True,False,350.0,0.7
9,[*]C=CC(=O)OCCCCN([*])c1ccc([Si](C)(C)C)cc1,True,True,False,350.0,0.7
10,[*]c1ccc2c(c1)Oc1ccc(OCC(F)(F)CCC(F)(F)c2ccc([Si]([*])(C)C)cc2)cc1,False,True,False,350.0,0.7
11,[*]O[Si]([*])(CCCCCOc1ccc(OC(=O)/C=C/C=C/c2ccccc2)cc1)OC(=O)c1ccc(O[Na])cc1,True,True,False,350.0,0.7
12,[*]NC(=O)NCCCCCCCNC(=O)NCC(C)=C([*])C,True,True,False,350.0,0.7
13,[*]CC([*])c1ccc2nc(-c3ccc([N+](=O)[O-])cc3n2)cc1,False,True,False,350.0,0.7
14,[*]CC(COCC(C)CCC)C([*])CC(CBr)OC,True,True,False,350.0,0.7
15,[*]Oc1ccc(/C=C2\CC(OCCCCCCCCCC)OC(=O)OCCCCCC)cc1C=C([*])C=O,False,True,False,350.0,0.7
16,[*]CCOc1ccc(NC(=O)SCCCS(=O)(=O)O)c(C([*])(C)C)cc1,False,True,False,350.0,0.7
17,[*]OCCN(C)C(=O)c1ccc(/C=C/P(=O)(O)C([*])C)cc1,True,True,False,350.0,0.7
18,[*]Nc1cc(NC(=O)C/C=C/c2ccc(C(c3ccc(Oc4ccc(C([*])=O)cc4)c(C#N)c3)cc2)(C)C)cc(C#N)c1,False,True,False,350.0,0.7
19,[*]CC(COC(=O)NCC([*])CC)c1ccc(/N=C/c2ccc(C)cc2)cc1,True,True,False,350.0,0.7
20,[*]C=CCOc1ccc(CCC([*])=O)cc1S(=O)(=O)Oc1ccccc1,True,True,False,350.0,0.7
21,[*]OCCN(CCOC(=O)c1ccc(S(=O)(=O)c2ccc(OCCCCCCCOCCOc3ccc(C([*])=O)cc3)c(OC)c2)cc1,False,True,False,350.0,0.7
22,[*]C=Cc1ccc(C(=O)Oc2ccc(/N=N/c3cc(C#N)c([*])cc3OCC)cc2)cc1SC,True,True,False,350.0,0.7
23,[*]CC([*])(C)C(=O)NCCNC(=O)c1ccccc1,True,True,False,350.0,0.7
24,[*]N=P([*])(OC(=O)c1ccc(C(C)C)cc1)c1ccc(-c2ccc(N(C)C)cc2)cc1,True,True,False,350.0,0.7
25,[*]CCN(C(=O)c1ccc(CCCCC(=O)Nc2cccc(N[*])c2)C(=O)O)cc1,False,True,False,350.0,0.7
26,[*]OP(=O)(Oc1cccc(-c2ccc(OCCCCCCC)c([*])s2)c1)OCCCC,False,True,False,350.0,0.7
27,[*]/C=C(\C)CCCC(=O)Oc1ccc(Oc2ccc(C([*])=O)cc2)cc1Oc1ccccc1/N=C/c1ccccc1,True,True,False,350.0,0.7
28,[*]CC(=O)N/C=C/C(=O)c1ccc2c(c1)C(=O)N(CCCCCCCCCCCOc2ccc(-c3ccc(-c4nnc([*])s4)cc3)cc2)c1,False,True,False,350.0,0.7
29,[*]C(=[*])c1ccc(C=NC(C)c2ccc(OC)cc2)c(Oc2ccc(F)cc2)c1,True,True,False,350.0,0.7
30,[*]CC([*])c1ccc(C(c2ccc(Br)cc2)c2ccc(Br)cc2)cc1,True,True,False,350.0,0.7
31,[*]CC([*])(OC(=O)N(C)C)C(=O)OC(C)(C)C,True,True,False,350.0,0.7
32,[*]CCN(C)C(=O)c1ccc2ccc([Si](C)(C)Oc3ccc(N([*])C)cc3)cc1)OC,False,True,False,350.0,0.7
33,[*]OCCCCCNC(=O)c1ccc2cccc([Si]([*])(C)c3ccccc3)c2ccccc12,False,True,False,350.0,0.7
34,[*]O[Si]([*])(=O)c1ccc2c(=O)nc1/C=C/c1ccc(COC(=O)c3ccccc3)cc21,True,True,False,350.0,0.7
35,[*]CC(=O)OC(Cc1ccc([*])cc1)OC(=O)c1ccc([N+](=O)[O-])cc1,True,True,False,350.0,0.7
36,[*]C=C[Si](C)(O)c1ccccc1C=C(C)c1cc(C([*])=O)cc(C)c1,True,True,False,350.0,0.7
37,[*]Nc1ccc(NC(=O)c2ccc(OCCCCCCOc3ccc(C(=O)Nc4ccc(Cc5ccc(O[*])cc5)cc4)cn3)cc2C(=O)c2ccccc2)c1,False,True,False,350.0,0.7
38,[*]Nc1ccc(C(=O)OCc2ccc(S(=O)(=O)COC3CCN(C([*])=O)C4=O)cc2C(F)(F)F)cc1,False,True,False,350.0,0.7
39,[*]Nc1ccc(Cc2cc(OC(=O)Oc3cccc(Cc4ccc([*])c(C)c4)c3)cc(C)c2C(=O)OCCCCCCCCCCC2C)c(C)c1Cl,False,True,False,350.0,0.7
40,[*]CC([*])C(=O)N(CC(C)(C)C)CC,True,True,False,350.0,0.7
41,[*]CCCNC(=O)c1ccc(CCCC(=O)NCC(=O)N[*])c2ccccc2C#N)cc1,False,True,False,350.0,0.7
42,[*]COCCOc1ccc(N(=O)c2ccc(-c3ccc(SCCCCOC([*])=O)cc3)cc2)cc1,False,True,False,350.0,0.7
43,[*]C(=O)c1ccc(OC(=O)OCCOc2ccc(C(=O)Oc3ccc(C(C)(C)c4ccccc4)cc3)cc2)cc1C([*])=O,True,True,False,350.0,0.7
44,[*]Nc1ccc(C(c2ccc(NC(=O)[Si]([*])(C)C)cc2)c2ccc([N+](=O)[O-])cc2)cc1,True,True,False,350.0,0.7
45,[*]O/C=C/CCC(=O)Oc1ccc(C([*])=O)c(SN)c1,True,True,False,350.0,0.7
46,[*]C(=O)Oc1c(Cl)cc([*])c(N(C)C)c1-c1ccc(OC)cc1,True,True,False,350.0,0.7
47,[*]CC(=O)Oc1c(CCCCCCCCCC)cc(COC([*])=O)c1-,False,True,False,350.0,0.7
48,[*]CC(=O)N1CCC(=O)c2ccc(C(=O)C3([*])CC3)cc2)cc1,False,True,False,350.0,0.7
49,[*]C(=O)Nc1ccc(C(=O)S(=O)(=O)C(CCC)C(=O)O[*])cc1,True,True,False,350.0,0.7
50,[*]CC([*])=O)OCCCCCCOC(=O)c1cccc(NC(=O)CCCC(=O)NC(=O)NC(=O)CO)c1,False,True,False,450.0,0.7
51,[*]CC=C1CCCC2NC(=O)C(OC(=O)Nc2ccccc2N=C(CC)CO[*])C1=O,False,True,False,450.0,0.7
52,[*]Nc1c(C)cc(NC(=O)c2ccc(SCCCCCCCCOC(=O)Nc3ccc(C4([*])OCC#N)cc3)cc2)cc1,False,True,False,450.0,0.7
53,[*]C([*])(C)C(=O)Oc1ccc(NC(=O)Nc2cc(C)cc(N(C)C)c2C2=O)cc1,False,True,False,450.0,0.7
54,[*]CCCC(C(=O)Nc1ccc(Cc2ccc(NC(=O)OCC)cc2)cc1)C(=O)Oc1ccc(C(=[*])Oc2ccccc2)cc1,True,True,False,450.0,0.7
55,[*]Cc1cc(OC(=O)Nc2sc(CCCCCCCCCCCC)c3ccc(Cc4ccc([*])cc4)cc3C2)cc1,False,True,False,450.0,0.7
56,[*]/C=C(/[*])C1CC[Si](C)(C)OCC(C)C1C,True,True,False,450.0,0.7
57,[*]CC(O[*])c1ccccc1C(=O)Oc1ccc([N+](=O)[O-])cc1,True,True,False,450.0,0.7
58,[*]C(=O)c1ccc(N2C(=O)CCCCCC([*])N(C)C)cc1-c1ccccc1,False,True,False,450.0,0.7
59,[*]CC(C)(C)COC(=O)Nc1ccc(-c2ccc(S(=O)(=O)c3ccc4nc(NCCCCCCN4C(=O)c5ccc(C([*])(C)C)cc5)cc4)o3)cc2)o1,False,True,False,450.0,0.7
60,[*]c1ccc([*])c(OC=O)c1Oc1ccc(OP(=O)(OO)c2ccc(Cl)cc2)cc1,True,True,False,450.0,0.7
61,[*]CCCCCNC(=O)c1ccc(/C=C/P(=O)(/C=C/c2cccc(C([*])C)c2)c2ccccc2)cc1,True,True,False,450.0,0.7
62,[*]OC(=O)c1ccc(N2C(=O)CCC([*])C(=O)OCC(F)(F)C(F)(F)F)cc2C1=O,True,True,False,450.0,0.7
63,[*]CCCCCCCC1CC(=O)OCCCCCCCCCc2ccc(-c3ccc(C=[*])cc3)c(CC)c2CCC1=O,True,True,False,450.0,0.7
64,[*]C=CC([*])C(=O)OCCCCCCOc1ccc(/C=C/c2ccc(Cl)cc2Cl)o1,True,True,False,450.0,0.7
65,[*]CCNC(=O)Oc1c(C)cc(C(=O)CC([*])C)cc1N,True,True,False,450.0,0.7
66,[*]CC(=O)Nc1ccc(OCCCCCCOc2ccc(OC(=O)c3ccc(S(=O)(=O)Oc4ccc(Oc5ccc(O[Si]([*])(=O)=O)cc5)cc4)cc3)cc2)cc1O,True,True,False,450.0,0.7
67,[*]CCCCC(=O)N([*])CCCc1ccccc1-c1ccc(OCCCC/C=C/c2cc(Br)ccc2)c(OCCCC)c1,True,True,False,450.0,0.7
68,[*]c1cccc(N2C(=O)c3ccc([Si]([*])(C(F)(F)F)C(F)(F)F)c3c2)o1,False,True,False,450.0,0.7
69,[*]CCCCCC([*])C(=O)N(CCCC)NC(=O)OC,True,True,False,450.0,0.7
70,[*]O[Si]([*])(C)CCc1ccc(NC(=O)c2ccc3c(c2)C(=O)OCC3(C)CC)cc1,True,True,False,450.0,0.7
71,[*]Nc1cccc(-c2ccc(NC(=O)c3ccc(C([*])=O)cc3CCCCCC)cc2)c1,True,True,False,450.0,0.7
72,[*]CCCCCCC(=O)Nc1ccc(Cc2ccc(Oc3ccc(C([*])=O)cc3)cc2)c(C(C)(C)C)c1,True,True,False,450.0,0.7
73,[*]Nc1ccc(COc2ccc(/C=C(\Cc3ccc([*])cc3)c3ccccc3)cc2)C2CCCCOCC1,False,True,False,450.0,0.7
74,[*]CCCc1ccc(/N=C/c2ccc(OCC([*])(C)CC)cc2)cc1SC,True,True,False,450.0,0.7
75,[*]=CC(c1ccc(CC([*])=O)cc1)CCc1ccccc1,True,True,False,450.0,0.7
76,[*]NC(Cc1ccc(OC(=O)Cc2ccccc2)cc1)(C=COC(=O)OC2CC(COC([*])=O)cc1)C(=O)OC1,False,True,False,450.0,0.7
77,[*]CC(O)COc1ccc(N(CCCC)C(=O)c2cc(C(=O)OC(C)CCC)cc(C([*])=O)c2)cc1,True,True,False,450.0,0.7
78,[*]CC(C)N(C)c1ccc(C(=O)C([*])C)cc1,True,True,False,450.0,0.7
