sample_id,smiles,is_valid,is_unique,in_training_set
0,[*]CCN(CC(F)(F)F)c1cc(C)c(N=[*])c(CC(C)C)c1,True,True,False
1,[*]CCOCCCCOC(=O)C(c1ccccc1)c1ccc(N([*])O)cc1,True,True,False
2,[*]CCCCCCCCCOC(=O)Nc1ccc(Cc2ccc(CSCCCCCOC([*])=O)cc2Sc2ccccc2)cc1,True,True,False
3,[*]CCc1ccc(C=C(C=O)c2ccc(O[*])cc2)cc1C,True,True,False
4,[*]/C=C/c1ccc(CCCCCCCC(=O)OCc2ccc(OCC(C)C([*])Cl)c([N+](=O)[O-])c2)cc1,True,True,False
5,[*]OC(=O)N(C)C(=O)OCc1cc(Br)cc([*])c1C,True,True,False
6,[*]CCCCCCCOC(=O)SCc1ccc(CC(COC)C(=O)N[*])cc1,True,True,False
7,[*]/C=C/CCCC/C(=N\c1ccc(OCCCCCCCC)cc1)[Si]([*])(C)C#N,True,True,False
8,[*]CCCCCCOC(=O)CCCCCC(=O)NCCCCCNC(=O)S[*],True,True,False
9,[*]CC(=O)/C=C/c1cc(OCCCC)cc([Si]([*])(C)C)c1,True,True,False
10,[*]O[Si]([*])(C)c1ccc(OCCCC(F)(F)CCC(F)(F)c2ccc(OC(F)(F)F)cc2)cc1,True,True,False
11,[*]O[Si]([*])(CCCCCCOCCOC)OCCOC(=O)c1ccc(S(=O)(=O)O[Na])cc1,True,True,False
12,[*]CNC(=O)OCCCCCC[Si](C)(C)CC(=O)NCCCNC([*])=O,True,True,False
13,[*]CC([*])c1ccc([N+](=O)[O-])cc1-c1ccc(CCCCC)cc1,True,True,False
14,[*]CC(COCC(C)[SH]([*])=O)CCC(C)(C)CCC,True,True,False
15,[*]Oc1cc(OCCCCCCCCCCCCCCOC(=O)/C=C/C=C/C(=O)O[*])ccc1CCCCC,True,True,False
16,[*]CCOC(=O)Nc1ccc(CS(=O)(=O)CCCC(C)(C)C)cc1S([*])(=O)=O,True,True,False
17,[*]OCCP(C)(C=O)COC(=O)c1ccc(N([*])CC)s1,True,True,False
18,[*]NC(=O)/C=C/c1ccc(Cc2ccc(NC(=O)Cc3ccc(C(O[*])=O)cc3)cc2)c(C(C)C)c1,True,True,False
19,[*]CC(C[*])COC(=O)C(=O)NCCC(C)Cc1ccc(C)cc1,True,True,False
