Test id,PSMILES,GNN Prediction Tg /K,MD Tg /K,Δ /%,pred
1,[*]NNC(=O)c1ccc(Cc2cc(S(=O)(=O)Nc3ccc([*])cc3)ccc2C)c(N=C)c1,492.287567,454.3,8.36,495.3756408691406
2,[*]Oc1ccc(NC(=O)c2ccc(CC(=O)Oc3ccc([*])cc3)cc2)c2ccccc12,476.740265,444.3,7.3,469.86553955078125
3,[*]OS(=O)(=O)c1ccc(Cc2ccc(N3C=Cc4ccc([*])cc4C3=O)cc2)c(-c2ccccc2)c1,459.848114,469.6,2.07,444.0916442871094
4,[*]Oc1ccc(C(=O)c2ccc(Nc3cccc(-c4ccc(S([*])(=O)=O)cc4)c3)cc2)cc1,456.443909,463.8,1.58,454.7076416015625
5,[*]c1ccc(CCCCCOc2ccc(-n3c([*])c4ccccc4c3)cc2S(=O)(=O)O)c(Cl)c1,443.940918,415.5,6.84,449.89300537109375
6,[*]CC(O)COc1ccc(C(C)(C)c2ccc(OC(=O)c3cc(OCCC)cc(C([*])=O)c3)cc2)c(-c2ccccc2)c1,399.28479,430.1,7.16,397.2309265136719
7,[*]/C=C/c1ccccc1CCC(O)CNC(=O)c1ccc(N(C(=O)CCCCCCOc2ccc([*])c(O)c2)cc1)c1ccccc1,389.390808,413.2,5.76,387.65826416015625
8,[*]COc1ccc(N(CC)c2ccc(C(=O)c3cccc(OC(=O)SCCC([*])(C)C)c3)cc2)cc1,387.417877,411.1,5.76,387.31695556640625
9,[*]OP(=O)(O)OCCOC(=O)c1cccc(C(C)(C)c2ccc(OC(=O)c3ccc([*])cc3)cc2)c1CCC,338.946777,455.6,25.6,341.6051025390625
10,[*]CC([*])(C)COc1ccc(C(=O)OCCCCC(CO)=Nc2ccc(OC(=O)c3ccccc3)cc2)cc1,336.920288,408.8,17.58,333.7706298828125
11,[*]CC([*])C(=O)OCC(C)(C)CCCCCCOc1cccc(S(=O)(=O)c2ccc(OC)cc2)c1,303.700195,360.1,15.66,314.63751220703125
12,[*]CCN(CCCC([*])(C#N)CSC(=O)OCCCC)NC,302.416992,321.8,6.02,295.2412109375
13,[*]CC([*])OC1CC1N(C)c1ccc(C(=O)Oc2ccc(S(=O)(=O)CCC)cc2)s1,350.527527,440.9,20.49,343.531005859375
14,[*]C/C=C/c1ccc(C(CBr)(COC(=O)c2ccc(Cl)cc2)OCCCCCCCC)c([*])c1,340.522583,385.9,11.75,342.27239990234375
15,[*]c1ccc(OCCOc2ccc(C(C)(C)c3ccc([*])cc3)cc2)cc1,368.313232,365.3,0.82,368.3110046386719
16,[*]CC([*])c1ccc(C(=O)NCCC)cc1/C=N/c1ccc(O)cc1,398.214386,455.2,12.51,403.69708251953125
17,[*]/C(=N/c1ccc(C(=O)S[*])c(OCCCCC(F)(F)F)c1)c1ccccc1,395.958893,442.6,10.53,374.4254150390625
18,[*]Cc1ccc(/C=C/c2ccc(OC(=O)c3cc(CCl)cc([*])c3)cc2OCCCC)cc1,409.76886,433.1,5.38,412.1954345703125
19,[*]NC(CO)C(=O)Nc1cccc(CC([*])=O)c1,448.422089,485.8,7.69,425.90972900390625
20,[*]CC(=O)Oc1ccc(S(=O)(=O)c2ccc(OC(=O)c3ccc(C)cc3)cc2)c(OC([*])=O)c1,443.990143,484.7,8.39,433.6336669921875
21,[*]Cc1ccc(CS(=O)(=O)c2cc(C([*])(C)C)cc(-c3ccccc3)c2)cc1C,475.955994,489.2,2.7,475.8215026855469
