Test id,PSMILES,GNN Prediction Tg /K,MD Tg /K,Δ /%,pred
1,[*]NNC(=O)c1ccc(Cc2cc(S(=O)(=O)Nc3ccc([*])cc3)ccc2C)c(N=C)c1,492.287567,454.3,8.36,500.9861755371094
2,[*]Oc1ccc(NC(=O)c2ccc(CC(=O)Oc3ccc([*])cc3)cc2)c2ccccc12,476.740265,444.3,7.3,446.4920349121094
3,[*]OS(=O)(=O)c1ccc(Cc2ccc(N3C=Cc4ccc([*])cc4C3=O)cc2)c(-c2ccccc2)c1,459.848114,469.6,2.07,438.3265075683594
4,[*]Oc1ccc(C(=O)c2ccc(Nc3cccc(-c4ccc(S([*])(=O)=O)cc4)c3)cc2)cc1,456.443909,463.8,1.58,429.67437744140625
5,[*]c1ccc(CCCCCOc2ccc(-n3c([*])c4ccccc4c3)cc2S(=O)(=O)O)c(Cl)c1,443.940918,415.5,6.84,448.44140625
6,[*]CC(O)COc1ccc(C(C)(C)c2ccc(OC(=O)c3cc(OCCC)cc(C([*])=O)c3)cc2)c(-c2ccccc2)c1,399.28479,430.1,7.16,415.2221984863281
7,[*]/C=C/c1ccccc1CCC(O)CNC(=O)c1ccc(N(C(=O)CCCCCCOc2ccc([*])c(O)c2)cc1)c1ccccc1,389.390808,413.2,5.76,423.1387634277344
8,[*]COc1ccc(N(CC)c2ccc(C(=O)c3cccc(OC(=O)SCCC([*])(C)C)c3)cc2)cc1,387.417877,411.1,5.76,365.1059265136719
9,[*]OP(=O)(O)OCCOC(=O)c1cccc(C(C)(C)c2ccc(OC(=O)c3ccc([*])cc3)cc2)c1CCC,338.946777,455.6,25.6,326.3647766113281
10,[*]CC([*])(C)COc1ccc(C(=O)OCCCCC(CO)=Nc2ccc(OC(=O)c3ccccc3)cc2)cc1,336.920288,408.8,17.58,363.5276184082031
11,[*]CC([*])C(=O)OCC(C)(C)CCCCCCOc1cccc(S(=O)(=O)c2ccc(OC)cc2)c1,303.700195,360.1,15.66,308.29205322265625
12,[*]CCN(CCCC([*])(C#N)CSC(=O)OCCCC)NC,302.416992,321.8,6.02,267.7856140136719
13,[*]CC([*])OC1CC1N(C)c1ccc(C(=O)Oc2ccc(S(=O)(=O)CCC)cc2)s1,350.527527,440.9,20.49,343.46502685546875
14,[*]C/C=C/c1ccc(C(CBr)(COC(=O)c2ccc(Cl)cc2)OCCCCCCCC)c([*])c1,340.522583,385.9,11.75,285.87432861328125
15,[*]c1ccc(OCCOc2ccc(C(C)(C)c3ccc([*])cc3)cc2)cc1,368.313232,365.3,0.82,389.9419860839844
16,[*]CC([*])c1ccc(C(=O)NCCC)cc1/C=N/c1ccc(O)cc1,398.214386,455.2,12.51,423.9851989746094
17,[*]/C(=N/c1ccc(C(=O)S[*])c(OCCCCC(F)(F)F)c1)c1ccccc1,395.958893,442.6,10.53,347.61639404296875
18,[*]Cc1ccc(/C=C/c2ccc(OC(=O)c3cc(CCl)cc([*])c3)cc2OCCCC)cc1,409.76886,433.1,5.38,409.7662353515625
19,[*]NC(CO)C(=O)Nc1cccc(CC([*])=O)c1,448.422089,485.8,7.69,443.4466552734375
20,[*]CC(=O)Oc1ccc(S(=O)(=O)c2ccc(OC(=O)c3ccc(C)cc3)cc2)c(OC([*])=O)c1,443.990143,484.7,8.39,411.1311950683594
21,[*]Cc1ccc(CS(=O)(=O)c2cc(C([*])(C)C)cc(-c3ccccc3)c2)cc1C,475.955994,489.2,2.7,451.0455017089844
