run_name,split_seed,model_seed,mae_k,rmse_k,best_epoch,log_path,checkpoint_dir,status
graph_repeated_split1_model1,1,1,26.103,37.465,42,/share/home/u23514/HTY/PolyMolStudio/analysis_outputs/repeated_split_graph/logs/graph_repeated_split1_model1_train_20260523-230812_split1_model1.log,/share/home/u23514/HTY/PolyMolStudio/analysis_outputs/repeated_split_graph/checkpoints/graph_repeated_split1_model1_train_20260523-230812_split1_model1,ok
graph_repeated_split2_model2,2,2,26.048,38.371,48,/share/home/u23514/HTY/PolyMolStudio/analysis_outputs/repeated_split_graph/logs/graph_repeated_split2_model2_train_20260524-002023_split2_model2.log,/share/home/u23514/HTY/PolyMolStudio/analysis_outputs/repeated_split_graph/checkpoints/graph_repeated_split2_model2_train_20260524-002023_split2_model2,ok
graph_repeated_split3_model3,3,3,25.726,39.605,39,/share/home/u23514/HTY/PolyMolStudio/analysis_outputs/repeated_split_graph/logs/graph_repeated_split3_model3_train_20260524-011205_split3_model3.log,/share/home/u23514/HTY/PolyMolStudio/analysis_outputs/repeated_split_graph/checkpoints/graph_repeated_split3_model3_train_20260524-011205_split3_model3,ok
graph_repeated_split4_model4,4,4,25.47,37.811,46,/share/home/u23514/HTY/PolyMolStudio/analysis_outputs/repeated_split_graph/logs/graph_repeated_split4_model4_train_20260524-015242_split4_model4.log,/share/home/u23514/HTY/PolyMolStudio/analysis_outputs/repeated_split_graph/checkpoints/graph_repeated_split4_model4_train_20260524-015242_split4_model4,ok
graph_repeated_split5_model5,5,5,26.414,37.674,47,/share/home/u23514/HTY/PolyMolStudio/analysis_outputs/repeated_split_graph/logs/graph_repeated_split5_model5_train_20260524-022638_split5_model5.log,/share/home/u23514/HTY/PolyMolStudio/analysis_outputs/repeated_split_graph/checkpoints/graph_repeated_split5_model5_train_20260524-022638_split5_model5,ok
graph_repeated_split6_model6,6,6,24.989,36.684,39,/share/home/u23514/HTY/PolyMolStudio/analysis_outputs/repeated_split_graph/logs/graph_repeated_split6_model6_train_20260524-025742_split6_model6.log,/share/home/u23514/HTY/PolyMolStudio/analysis_outputs/repeated_split_graph/checkpoints/graph_repeated_split6_model6_train_20260524-025742_split6_model6,ok
graph_repeated_split7_model7,7,7,23.717,34.846,48,/share/home/u23514/HTY/PolyMolStudio/analysis_outputs/repeated_split_graph/logs/graph_repeated_split7_model7_train_20260524-032755_split7_model7.log,/share/home/u23514/HTY/PolyMolStudio/analysis_outputs/repeated_split_graph/checkpoints/graph_repeated_split7_model7_train_20260524-032755_split7_model7,ok
graph_repeated_split8_model8,8,8,28.647,43.921,37,/share/home/u23514/HTY/PolyMolStudio/analysis_outputs/repeated_split_graph/logs/graph_repeated_split8_model8_train_20260524-035723_split8_model8.log,/share/home/u23514/HTY/PolyMolStudio/analysis_outputs/repeated_split_graph/checkpoints/graph_repeated_split8_model8_train_20260524-035723_split8_model8,ok
graph_repeated_split9_model9,9,9,27.266,43.512,46,/share/home/u23514/HTY/PolyMolStudio/analysis_outputs/repeated_split_graph/logs/graph_repeated_split9_model9_train_20260524-042538_split9_model9.log,/share/home/u23514/HTY/PolyMolStudio/analysis_outputs/repeated_split_graph/checkpoints/graph_repeated_split9_model9_train_20260524-042538_split9_model9,ok
graph_repeated_split10_model10,10,10,25.052,37.242,34,/share/home/u23514/HTY/PolyMolStudio/analysis_outputs/repeated_split_graph/logs/graph_repeated_split10_model10_train_20260524-045356_split10_model10.log,/share/home/u23514/HTY/PolyMolStudio/analysis_outputs/repeated_split_graph/checkpoints/graph_repeated_split10_model10_train_20260524-045356_split10_model10,ok
