run_name,split_seed,model_seed,mae_k,rmse_k,best_epoch,log_path,checkpoint_dir,status
crossattn_repeated_split1_model1,1,1,23.413,34.291,45,/share/home/u23514/HTY/PolyMolStudio/analysis_outputs/repeated_split_crossattn/logs/crossattn_repeated_split1_model1_train_20260523-230711_split1_model1.log,/share/home/u23514/HTY/PolyMolStudio/analysis_outputs/repeated_split_crossattn/checkpoints/crossattn_repeated_split1_model1_train_20260523-230711_split1_model1,ok
crossattn_repeated_split2_model2,2,2,25.234,35.467,24,/share/home/u23514/HTY/PolyMolStudio/analysis_outputs/repeated_split_crossattn/logs/crossattn_repeated_split2_model2_train_20260523-235434_split2_model2.log,/share/home/u23514/HTY/PolyMolStudio/analysis_outputs/repeated_split_crossattn/checkpoints/crossattn_repeated_split2_model2_train_20260523-235434_split2_model2,ok
crossattn_repeated_split3_model3,3,3,24.729,39.016,46,/share/home/u23514/HTY/PolyMolStudio/analysis_outputs/repeated_split_crossattn/logs/crossattn_repeated_split3_model3_train_20260524-003541_split3_model3.log,/share/home/u23514/HTY/PolyMolStudio/analysis_outputs/repeated_split_crossattn/checkpoints/crossattn_repeated_split3_model3_train_20260524-003541_split3_model3,ok
crossattn_repeated_split4_model4,4,4,24.8,37.793,45,/share/home/u23514/HTY/PolyMolStudio/analysis_outputs/repeated_split_crossattn/logs/crossattn_repeated_split4_model4_train_20260524-012220_split4_model4.log,/share/home/u23514/HTY/PolyMolStudio/analysis_outputs/repeated_split_crossattn/checkpoints/crossattn_repeated_split4_model4_train_20260524-012220_split4_model4,ok
crossattn_repeated_split5_model5,5,5,24.594,36.479,49,/share/home/u23514/HTY/PolyMolStudio/analysis_outputs/repeated_split_crossattn/logs/crossattn_repeated_split5_model5_train_20260524-020458_split5_model5.log,/share/home/u23514/HTY/PolyMolStudio/analysis_outputs/repeated_split_crossattn/checkpoints/crossattn_repeated_split5_model5_train_20260524-020458_split5_model5,ok
crossattn_repeated_split6_model6,6,6,24.049,35.763,39,/share/home/u23514/HTY/PolyMolStudio/analysis_outputs/repeated_split_crossattn/logs/crossattn_repeated_split6_model6_train_20260524-024736_split6_model6.log,/share/home/u23514/HTY/PolyMolStudio/analysis_outputs/repeated_split_crossattn/checkpoints/crossattn_repeated_split6_model6_train_20260524-024736_split6_model6,ok
crossattn_repeated_split7_model7,7,7,23.422,34.394,48,/share/home/u23514/HTY/PolyMolStudio/analysis_outputs/repeated_split_crossattn/logs/crossattn_repeated_split7_model7_train_20260524-032930_split7_model7.log,/share/home/u23514/HTY/PolyMolStudio/analysis_outputs/repeated_split_crossattn/checkpoints/crossattn_repeated_split7_model7_train_20260524-032930_split7_model7,ok
crossattn_repeated_split8_model8,8,8,25.913,40.589,42,/share/home/u23514/HTY/PolyMolStudio/analysis_outputs/repeated_split_crossattn/logs/crossattn_repeated_split8_model8_train_20260524-041112_split8_model8.log,/share/home/u23514/HTY/PolyMolStudio/analysis_outputs/repeated_split_crossattn/checkpoints/crossattn_repeated_split8_model8_train_20260524-041112_split8_model8,ok
crossattn_repeated_split9_model9,9,9,24.331,39.357,50,/share/home/u23514/HTY/PolyMolStudio/analysis_outputs/repeated_split_crossattn/logs/crossattn_repeated_split9_model9_train_20260524-045232_split9_model9.log,/share/home/u23514/HTY/PolyMolStudio/analysis_outputs/repeated_split_crossattn/checkpoints/crossattn_repeated_split9_model9_train_20260524-045232_split9_model9,ok
crossattn_repeated_split10_model10,10,10,23.058,34.53,41,/share/home/u23514/HTY/PolyMolStudio/analysis_outputs/repeated_split_crossattn/logs/crossattn_repeated_split10_model10_train_20260524-053338_split10_model10.log,/share/home/u23514/HTY/PolyMolStudio/analysis_outputs/repeated_split_crossattn/checkpoints/crossattn_repeated_split10_model10_train_20260524-053338_split10_model10,ok
